Game mode,Logic loops,Player hits,Wall hits,Points to win,Player 1,Player 2
COM vs COM,2711,78,106,10,6,10
COM vs COM,3395,100,126,10,10,7
COM vs COM,1364,37,34,10,10,3
COM vs COM,3092,93,80,10,4,10
COM vs COM,3320,99,82,10,7,10
Human vs Human,981,23,41,10,10,5
Human vs Human,367,3,11,10,6,10
Human vs Human,103,2,5,10,2,0
COM vs COM,7,0,0,10,0,0
COM vs COM,9,0,0,10,0,0
COM vs COM,3374,97,138,10,9,10
Human vs COM,2902,84,93,10,10,8
Human vs Human,3039,90,113,10,4,10
COM vs COM,4444,134,136,10,10,8
Human vs COM,5829,184,156,10,0,10
COM vs COM,1452,40,45,10,10,2
COM vs COM,3025,90,0,10,9,10
COM vs COM,2347,66,0,10,2,10
COM vs COM,1099,22,0,10,2,10
COM vs COM,5577,68,3387,10,1,1
COM vs COM,19580,672,0,10,10,0
COM vs COM,43865,1245,0,10,10,0
COM vs COM,35964,1100,0,10,10,1
COM vs COM,436,11,0,10,0,0
COM vs COM,4,0,0,10,0,0
